start_time_utc,power
2025-06-09 18:00:00+00:00,689.7440812818838
2025-06-09 18:15:00+00:00,628.3881025294755
2025-06-09 18:30:00+00:00,567.2421274912498
2025-06-09 18:45:00+00:00,512.8536780467588
2025-06-09 19:00:00+00:00,466.90495656995296
2025-06-09 19:15:00+00:00,478.785130793372
2025-06-09 19:30:00+00:00,503.46898260696935
2025-06-09 19:45:00+00:00,541.2563668926584
2025-06-09 20:00:00+00:00,584.234731268762
2025-06-09 20:15:00+00:00,738.7779296913832
2025-06-09 20:30:00+00:00,895.3412650627572
2025-06-09 20:45:00+00:00,1053.66090566702
2025-06-09 21:00:00+00:00,1212.5974293661768
2025-06-09 21:15:00+00:00,1586.2762710816314
2025-06-09 21:30:00+00:00,1964.509070990553
2025-06-09 21:45:00+00:00,2342.741870899474
