# Private Trades - 2025-06-08 - 2025-06-09T00:05:16.000Z;;;;;;;;
TradeId;Side;DeliveryStart;DeliveryEnd;ExecutionTime;Price;Currency;Volume;VolumeUnit
2043235045;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:33:00.453000+00:00;69.82;EUR;0.1;MWH
2043203654;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 20:53:25.798000+00:00;71.3;EUR;0.1;MWH
2043238843;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:38:47.455000+00:00;68.33;EUR;0.1;MWH
2042884498;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 15:03:44.509000+00:00;81.29;EUR;0.1;MWH
2043166017;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 20:20:09.188000+00:00;65.9;EUR;0.2;MWH
2043348644;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 23:50:28.241000+00:00;93.9;EUR;0.05;MWH
2043257797;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 22:05:40.424000+00:00;77.92;EUR;0.05;MWH
2043294883;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 22:56:35.447000+00:00;65.76;EUR;0.05;MWH
2043263265;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 22:13:25.004000+00:00;77.31;EUR;0.05;MWH
2043295542;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 22:57:11.220000+00:00;64.87;EUR;0.05;MWH
2043295543;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 22:57:11.220000+00:00;64.8;EUR;0.05;MWH
2043323503;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 23:21:35.612000+00:00;60.0;EUR;0.2;MWH
2043276316;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:30:49.631000+00:00;68.18;EUR;0.2;MWH
2043258678;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 22:07:35.128000+00:00;78.81;EUR;0.05;MWH
2043251126;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 21:56:25.223000+00:00;81.03;EUR;0.05;MWH
2043287107;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:46:14.982000+00:00;66.7;EUR;0.2;MWH
2043234036;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 21:31:12.383000+00:00;79.69;EUR;0.05;MWH
2043237662;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:37:34.470000+00:00;69.51;EUR;0.2;MWH
2043237590;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:37:21.946000+00:00;69.46;EUR;0.2;MWH
