delivery_start__utc_,delivery_end__utc_,price__euro_per_mwh_
2025-06-08 03:15:00.000000 UTC,2025-06-08 03:30:00.000000 UTC,83.82
2025-06-08 03:30:00.000000 UTC,2025-06-08 03:45:00.000000 UTC,87.2
2025-06-08 03:45:00.000000 UTC,2025-06-08 04:00:00.000000 UTC,89.41
2025-06-08 04:00:00.000000 UTC,2025-06-08 04:15:00.000000 UTC,92.87
2025-06-08 04:15:00.000000 UTC,2025-06-08 04:30:00.000000 UTC,93.93
2025-06-08 04:30:00.000000 UTC,2025-06-08 04:45:00.000000 UTC,80.8
2025-06-08 04:45:00.000000 UTC,2025-06-08 05:00:00.000000 UTC,83.41
2025-06-08 05:00:00.000000 UTC,2025-06-08 05:15:00.000000 UTC,101.19
2025-06-08 05:15:00.000000 UTC,2025-06-08 05:30:00.000000 UTC,93.17
2025-06-08 05:30:00.000000 UTC,2025-06-08 05:45:00.000000 UTC,80.24
2025-06-08 05:45:00.000000 UTC,2025-06-08 06:00:00.000000 UTC,73.1
2025-06-08 06:00:00.000000 UTC,2025-06-08 06:15:00.000000 UTC,86.19
2025-06-08 06:15:00.000000 UTC,2025-06-08 06:30:00.000000 UTC,90.92
2025-06-08 06:30:00.000000 UTC,2025-06-08 06:45:00.000000 UTC,87.32
2025-06-08 06:45:00.000000 UTC,2025-06-08 07:00:00.000000 UTC,45.95
2025-06-08 07:00:00.000000 UTC,2025-06-08 07:15:00.000000 UTC,65.86
2025-06-08 07:15:00.000000 UTC,2025-06-08 07:30:00.000000 UTC,56.01
2025-06-08 07:30:00.000000 UTC,2025-06-08 07:45:00.000000 UTC,46.22
2025-06-08 07:45:00.000000 UTC,2025-06-08 08:00:00.000000 UTC,13.45
2025-06-08 08:00:00.000000 UTC,2025-06-08 08:15:00.000000 UTC,63.03
2025-06-08 08:15:00.000000 UTC,2025-06-08 08:30:00.000000 UTC,31.13
2025-06-08 08:30:00.000000 UTC,2025-06-08 08:45:00.000000 UTC,-4.8
2025-06-08 08:45:00.000000 UTC,2025-06-08 09:00:00.000000 UTC,-22.7
2025-06-08 09:00:00.000000 UTC,2025-06-08 09:15:00.000000 UTC,45.21
2025-06-08 09:15:00.000000 UTC,2025-06-08 09:30:00.000000 UTC,10.95
2025-06-08 09:30:00.000000 UTC,2025-06-08 09:45:00.000000 UTC,-15.24
2025-06-08 09:45:00.000000 UTC,2025-06-08 10:00:00.000000 UTC,-11.15
2025-06-08 10:00:00.000000 UTC,2025-06-08 10:15:00.000000 UTC,18.35
